radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,255,3,29200,11,0,31.311605,51.499902,6963,12,1,1332519355,1351055565,0
GSM,255,3,29200,1052,0,31.316983,51.499635,5167,18,1,1332519355,1351055565,0
GSM,255,3,29200,16461,0,31.312666,51.500758,5403,29,1,1332519355,1351218617,0
GSM,255,3,29200,9052,0,31.313338,51.501847,2283,28,1,1332519355,1351055565,0
GSM,255,3,29200,9103,0,31.308786,51.509026,2550,22,1,1332519355,1351218317,0
GSM,255,3,29200,9042,0,31.338575,51.513784,7699,16,1,1332744995,1350875817,0
GSM,255,3,29200,16463,0,31.30891,51.505094,3864,22,1,1332747765,1349400847,0
GSM,255,3,29200,1013,0,31.303888,51.517197,5591,17,1,1332747765,1350721051,0
GSM,255,3,29200,8073,0,31.287627,51.51352,2144,22,1,1332747765,1350872921,0
GSM,255,3,29200,23,0,31.262599,51.483917,5036,17,1,1333166938,1350889484,0
GSM,255,3,29200,18023,0,31.273268,51.488156,3028,33,1,1333167015,1351291391,0
GSM,255,3,29200,28023,0,31.221206,51.468015,4044,11,1,1333167337,1348824785,0
GSM,255,3,29200,9032,0,31.237654,51.472368,2648,15,1,1333168011,1351292191,0
GSM,255,3,29200,9033,0,31.211662,51.463004,4335,14,1,1333168213,1351292291,0
GSM,255,3,29200,1011,0,31.315243,51.5172,3447,39,1,1333168269,1350721051,0
GSM,255,3,29200,22,0,31.220435,51.46587,5235,15,1,1333168269,1351292292,0
GSM,255,3,29200,131,0,31.270023,51.515954,5481,11,1,1333168269,1348966114,0
GSM,255,3,29200,1032,0,31.242537,51.476272,3650,16,1,1333169627,1351292292,0
GSM,255,3,29200,1033,0,31.224518,51.470948,1097,2,1,1333169627,1348824486,0
GSM,255,3,29200,9223,0,31.234815,51.474611,2274,6,1,1333169627,1351291692,0
GSM,255,3,29200,111,0,31.216037,51.453678,7029,12,1,1333169627,1351292592,0
GSM,255,3,29200,102,0,31.22062,51.46294,3258,3,1,1333169627,1351291992,0
GSM,255,3,29200,112,0,31.19961,51.405273,7912,3,1,1333170888,1351292591,0
GSM,255,1,18620,26471,0,31.09798,51.352135,27809,21,1,1333170889,1357948959,0
GSM,255,1,18620,26473,0,30.988602,51.26525,14604,51,1,1333170889,1357950759,0
GSM,255,1,18620,26423,0,30.845496,51.070166,13135,32,1,1333170906,1357952259,0
GSM,255,1,18620,26362,0,30.8184,51.029437,8233,14,1,1333171117,1357952259,0
GSM,255,1,18620,26943,0,30.812621,51.017993,10456,24,1,1333171448,1357952559,0
GSM,255,1,18620,26941,0,30.855308,51.04694,22490,25,1,1333171503,1357952259,0
GSM,255,1,18620,2755,0,30.79362,50.949375,5799,30,1,1333171696,1357961719,0
GSM,255,1,18620,24692,0,30.777671,50.939,4831,34,1,1333171988,1357961718,0
GSM,255,1,18620,4691,0,30.80992,50.955794,10165,70,1,1333172102,1357962619,0
GSM,255,3,29200,113,0,31.162486,51.43181,2466,3,1,1333172289,1351292592,0
GSM,255,3,29200,83,0,31.166149,51.4349,2892,4,1,1333172289,1351292592,0
GSM,255,1,18620,26472,0,31.039152,51.313982,17889,21,1,1333172289,1357948959,0
GSM,255,1,18620,26092,0,31.039582,51.319404,7205,7,1,1333172289,1357949260,0
GSM,255,1,18620,26091,0,31.099314,51.366349,3671,6,1,1333172289,1357948659,0
GSM,255,1,18230,4482,0,30.965782,51.029118,69840,94,1,1333172289,1357950759,0
GSM,255,1,18620,26113,0,30.983902,51.269008,11739,29,1,1333172289,1357949859,0
GSM,255,1,18620,26111,0,30.967719,51.25163,12936,34,1,1333172289,1357950459,0
GSM,255,1,18620,26116,0,30.980725,51.261527,10885,10,1,1333172289,1357949259,0
GSM,255,1,18230,26523,0,31.117479,51.349633,24096,36,1,1333172289,1358069625,0
GSM,255,1,18620,26363,0,30.861936,51.093136,11859,34,1,1333172289,1357951657,0
GSM,255,1,18620,26942,0,30.858866,50.951755,16389,31,1,1333172289,1357965461,0
GSM,255,1,18620,4693,0,30.796113,50.947532,5625,42,1,1333172289,1357962619,0
GSM,255,1,18620,24693,0,30.790441,50.948126,5322,43,1,1333172289,1357962019,0
GSM,255,1,18620,13893,0,30.826117,50.956139,9425,74,1,1333172289,1357967581,0
GSM,255,1,18620,24691,0,30.871033,50.941201,11199,22,1,1333172289,1357967881,0
